-183.606, 77.917, 1.891,  1.765
-183.599, 77.854, 1.897,  1.798
-183.592, 77.791, 1.902,  1.831
-183.585, 77.728, 1.907,  1.864
-183.578, 77.665, 1.912,  1.897
-183.570, 77.601, 1.917,  1.930
-183.563, 77.537, 1.922,  1.963
-183.556, 77.474, 1.927,  1.996
-183.548, 77.410, 1.932,  2.029
-183.540, 77.346, 1.936,  2.062
-183.533, 77.281, 1.941,  2.095
-183.525, 77.217, 1.946,  2.128
-183.517, 77.153, 1.950,  2.161
-183.509, 77.088, 1.955,  2.194
-183.501, 77.023, 1.959,  2.227
-183.493, 76.958, 1.964,  2.260
-183.485, 76.893, 1.969,  2.293
-183.477, 76.828, 1.974,  2.326
-183.468, 76.763, 1.979,  2.359
-183.460, 76.697, 1.983,  2.392
-183.451, 76.631, 1.987,  2.425
-183.443, 76.565, 1.992,  2.458
-183.434, 76.499, 1.997,  2.491
-183.426, 76.433, 2.002,  2.524
-183.417, 76.367, 2.007,  2.557
-183.408, 76.301, 2.011,  2.590
-183.399, 76.234, 2.016,  2.623
-183.390, 76.167, 2.021,  2.656
-183.381, 76.100, 2.026,  2.689
-183.372, 76.033, 2.031,  2.722
-183.363, 75.966, 2.036,  2.755
-183.354, 75.899, 2.041,  2.788
-183.345, 75.831, 2.046,  2.821
-183.335, 75.763, 2.052,  2.854
-183.326, 75.696, 2.057,  2.887
-183.317, 75.627, 2.062,  2.920
-183.307, 75.559, 2.066,  2.953
-183.298, 75.491, 2.072,  2.986
-183.288, 75.422, 2.078,  3.019
-183.278, 75.354, 2.083,  3.052
-183.269, 75.285, 2.088,  3.085
-183.259, 75.216, 2.094,  3.118
-183.249, 75.146, 2.099,  3.151
-183.239, 75.077, 2.105,  3.184
-183.229, 75.007, 2.111,  3.217
-183.219, 74.938, 2.116,  3.250
-183.209, 74.868, 2.122,  3.283
-183.199, 74.797, 2.127,  3.316
-183.189, 74.727, 2.133,  3.349
-183.179, 74.657, 2.139,  3.382
-183.169, 74.586, 2.145,  3.415
-183.159, 74.515, 2.150,  3.448
-183.148, 74.444, 2.156,  3.481
-183.138, 74.373, 2.162,  3.514
-183.128, 74.301, 2.169,  3.547
-183.117, 74.229, 2.175,  3.580
-183.107, 74.158, 2.180,  3.613
-183.096, 74.085, 2.186,  3.646
-183.086, 74.013, 2.193,  3.679
-183.075, 73.941, 2.199,  3.712
-183.065, 73.868, 2.205,  3.745
-183.054, 73.795, 2.210,  3.778
-183.043, 73.722, 2.217,  3.811
-183.033, 73.649, 2.224,  3.844
-183.022, 73.575, 2.230,  3.877
-183.011, 73.502, 2.236,  3.910
-183.000, 73.428, 2.243,  3.943
-182.990, 73.353, 2.249,  3.976
-182.979, 73.279, 2.256,  4.009
-182.968, 73.205, 2.262,  4.042
-182.957, 73.130, 2.269,  4.075
-182.946, 73.055, 2.276,  4.108
-182.935, 72.980, 2.282,  4.141
-182.924, 72.904, 2.289,  4.174
-182.913, 72.828, 2.295,  4.207
-182.902, 72.753, 2.303,  4.240
-182.891, 72.676, 2.310,  4.273
-182.880, 72.600, 2.316,  4.306
-182.869, 72.523, 2.323,  4.339
-182.857, 72.447, 2.330,  4.372
-182.846, 72.370, 2.337,  4.405
-182.835, 72.292, 2.344,  4.438
-182.824, 72.215, 2.350,  4.471
-182.813, 72.137, 2.358,  4.504
-182.801, 72.059, 2.365,  4.537
-182.790, 71.981, 2.372,  4.570
